complaint_id,date_received,district_occurrence,general_cap_classification,summary
19-0662,2019-12-19,0300,PHYSICAL ABUSE,"According to the complainant, on 12-15-19 at 2:40 AM, they were physically and verbally abused by an officer and did not receive proper service from an unknown sergeant and officers while in the confines of the 3rd District."
19-0663,2019-12-23,0600,PHYSICAL ABUSE,"According to the complainants, on 12-10-19 at 11:30 AM, they did not receive proper service, were physically and verbally abused by a sergeant and officer assigned to the 6th District."
19-0664,2019-12-23,0100,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-19 at 9:20 PM, they were improperly stopped and searched by officers while in the confines of the 1st District."
19-0665,2019-12-26,0800,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-26-19 at 8:50 PM, they were verbally abused and treated unprofessionally by an officer assigned to the 8th District."
19-0666,2019-12-27,2400,PHYSICAL ABUSE,"According to the complainant, on 12-7-19, they were verbally abused, physically abused, and racially profiled by officers, while in the confines of the 24th District."
19-0667,2019-12-27,3500,VERBAL ABUSE,"According to the complainant, on 12-22-19 at 8:00 PM, they were verbally abused by officers assigned to the 35th District."
19-0668,2019-12-26,1500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-03-19 at 11:01 PM, they were discriminated against and did not receive proper service by officers assigned to the Traffic District, while in the confines of the 15th District."
19-0669,2019-12-26,Other Jurisdiction,CRIMINAL ALLEGATION,"According to the complainant, on 12-23-19 at 10:46 AM, they were threatened by an off-duty officer assigned to the 6th District."
19-0670,2019-12-30,0200,LACK OF SERVICE,"According to the complainant, on 6-25-17 at 11:30 PM, they did not receive proper service from unknown officers while in the confines of the 2nd District."
19-0671,2019-12-30,0100,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 4-5-18, they were indecently touched by an officer assigned to the 1st District."
19-0672,2019-12-30,1800,PHYSICAL ABUSE,"According to the complainant, on 12-21-19 at 11:30 AM, they were physically abused and improperly arrested by officers assigned to Highway Patrol."
19-0673,2019-12-31,0400,LACK OF SERVICE,"According to the complainant, on 12-21-19 at 12:34 PM, they did not receive proper service from a detective assigned to the Major Crimes Unit."
19-0674,2019-12-31,0900,DOMESTIC,A complaint of violation of a court order was received in reference to civil proceedings which involved an officer from Northwest Detectives.
19-0675,2019-12-30,0700,HARASSMENT,"According to the complainant, since 9-1-19, they were treated unprofessionally and harassed by an officer assigned to the 15th District, while in the confines of the 7th District."
19-0676,2019-12-31,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-28-19 at 11:30 AM, they were improperly stopped and physically abused by officers assigned to the 39th District."
19-0677,2019-12-31,1500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-29-19 at 9:18 AM, they were improperly stopped and ticketed by officers assigned to the 14th District."
19-0678,2019-12-31,1400,CRIMINAL ALLEGATION,"According to the complainant, on 12-26-19 at 9:15 AM, they were assaulted and threatened by an off-duty officer within the confines of the 14th District."
19-0679,2019-12-31,1500,VERBAL ABUSE,"According to the complainant, on 12-30-19 at 4:19 PM, they were verbally abused by an officer assigned to the 15th District."
19-0680,2019-12-31,2600,LACK OF SERVICE,"According to the complainant, on 11-9-19 at 11:00 PM, they did not receive proper service from unknown officers assigned to the 9th District."
19-0681,2019-12-31,1700,LACK OF SERVICE,"According to the complainant, on 12-08-19, they did not receive proper service from a Detective assigned to South Detectives."
19-0682,2019-12-31,0300,VERBAL ABUSE,"According to the complainant, on 12-30-19, they were verbally abused by an officer, within the confines of the 3rd Police District."
20-0001,2020-01-06,3900,VERBAL ABUSE,"According to the complainant, on 1-1-20 at 6:52 PM, they were verbally abused by an officer and lieutenant assigned to the 39th District."
20-0002,2020-01-07,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-9-19 at 6:45 PM, they were falsely arrested by an officer assigned to the 2nd District."
20-0003,2020-01-06,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-21-19 at 11:57 AM, they did not receive proper service from an officer assigned to the 14th District."
20-0004,2020-01-08,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-9-19 at 7:19 PM, officers failed to follow proper procedure while in the confines of the 19th District."
20-0005,2020-01-09,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-2-20 at 11:16 PM, they were improperly stopped and detained by an officer and did not receive proper service from a sergeant while in the confines of the 35th District."
20-0006,2020-01-09,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-4-20 at 5:45 PM, an officer assigned to the 15th District failed to follow departmental policy."
20-0007,2020-01-09,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-17-19 at 12:30 AM, they were improperly ticketed by an officer assigned to the 8th District."
20-0008,2020-01-09,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-7-20 at 9:50 PM, they were improperly ticketed by an officer assigned to the 22nd District."
20-0009,2020-01-13,1500,LACK OF SERVICE,"According to the complainant, on 12-13-19 at 11:00 AM, they did not receive proper service from an officer assigned to the 15th District."
20-0010,2020-01-09,0600,LACK OF SERVICE,"According to the complainant, on 5-21-19 at 6:00 PM, they did not receive proper service from an officer assigned to the Accident Investigation Division while in the confines of the 6th District."
20-0011,2020-01-09,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-30-19 at 7:00 PM, they are missing property, were improperly stopped and searched by officers assigned to the 18th District."
20-0012,2020-01-13,1700,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 1-4-20 at 7:18 PM, they were verbally abused by officers assigned to the Highway Patrol Unit within the confines of the 22nd District."
20-0013,2020-01-13,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-6-20 at 5:15 PM, they were improperly stopped by officers assigned to the 19th District."
20-0014,2020-01-15,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, between 11-20-19 through 11-22-19, they did not receive proper service and were treated unprofessionally by officers while in the confines of the 39th District."
20-0015,2020-01-13,1500,PHYSICAL ABUSE,"According to the complainant, on 1-9-20 at 5:40 PM, they were physically and verbally abused, and their vehicle was illegally searched by officers while in the confines of the 15th District."
20-0016,2020-01-15,1500,HARASSMENT,"According to the complainant, on 1-12-20 at 10:30 PM, they were harassed and verbally abused by unknown officers within the 15th District."
20-0017,2020-01-17,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-12-20 at 10:00 AM, they were improperly stopped and ticketed by an officer assigned to the 18th District."
20-0018,2020-01-15,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-8-20 at 1:30 AM, departmental policies were violated by officers, while in the confines of the 26th District."
20-0019,2020-01-15,1400,VERBAL ABUSE,"According to the complainant, on 1-9-20 at 10:15 PM, they were verbally abused and threatened by officers, while in the confines of the 14th District."
20-0020,2020-01-15,1900,PHYSICAL ABUSE,"According to the complainant, on 1-4-20 at 10:57 PM, they were physically and verbally abused by a sergeant and officers assigned to the 19th District."
20-0021,2020-01-17,0100,HARASSMENT,"According to the complainant, on 8-3-19 at 7:17 PM, they did not receive proper service and have been harassed by an officer assigned to the 1st District."
20-0022,2020-01-17,3500,HARASSMENT,"According to the complainant, on 12-16-19 at 9:39 AM, they were verbally abused and harassed by an off duty officer within the confines of the 35th District."
20-0023,2020-01-17,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-6-19 at 7:00 PM, they were falsely arrested by Narcotics Strike Force officers within the confines of the 25th District."
20-0024,2020-01-21,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-17-20 at 12:00 AM, they were physically abused and did not receive proper service by unknown officers within the confines of the 25th District."
20-0025,2020-01-21,0600,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on numerous occasions beginning in September of 2008, they were sexually assaulted by an officer within the confines of the 6th District."
20-0026,2020-01-24,0800,LACK OF SERVICE,"According to the complainant, on 1-16-20 at 12:05 AM, they did not receive proper service from officers assigned to the 8th District."
20-0027,2020-01-30,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-18-20 at 11:30 AM, they did not receive proper service from officers assigned to the 19th District."
20-0028,2020-01-23,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-20 at 11:00 AM, departmental policies were violated and they did not receive proper service from a sergeant, within the confines of the 22nd District."
20-0029,2020-01-22,1400,VERBAL ABUSE,"According to the complainant, on 11-7-19 at 6:30 PM, they were verbally abused and their property was improperly searched by officers within the confines of the 14th District."
20-0030,2020-01-22,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-4-19 at 12:04 PM, they were issued a false traffic citation and property was damaged by an officer within the confines of the 8th District."
20-0031,2020-01-23,1600,PHYSICAL ABUSE,"According to the complainant, on 2-10-18 at 4:30 PM, they were physically abused by officers within the confines of the 16th District."
20-0032,2020-01-23,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-21-20 at 7:28 PM, they were treated unprofessionally and falsely issued a traffic citation from an officer while in the confines of the 19th District."
20-0033,2020-01-23,3900,VERBAL ABUSE,"According to the complainant, on 1-17-20 at 7:50 AM, they were verbally abused by an officer assigned to the Traffic Unit within the confines of the 39th District."
20-0034,2020-01-23,0100,CRIMINAL ALLEGATION,"According to the complainant, on 1-13-20 at 8:57 PM, they are missing property by an unknown officer, within the confines of the 1st District."
20-0035,2020-01-30,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-13-20 at 6:00 PM, they did not receive proper service from a Southwest Detective Division detective and two officers assigned to the 19th District."
20-0036,2020-01-24,2200,LACK OF SERVICE,"According to the complainant, on 1-23-20 at 5:00 AM, they did not receive proper service and were verbally abused by an officer assigned to the 22nd District."
20-0037,2020-01-27,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, beginning on 1-2-20, officers failed to follow departmental policies while in the confines of the 39th District."
20-0038,2020-01-28,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-23-20 at 2:30 AM, they were treated unprofessionally and did not receive proper service from a sergeant and two officers assigned to the 18th District."
20-0039,2020-01-28,2200,LACK OF SERVICE,"According to the complainant, on 1-25-20 at 11:24 AM, they did not receive proper service from unknown supervisors and officers assigned to the 22nd District."
20-0040,2020-01-29,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-20 at 12:33 AM, they observed officers violate departmental policy, within the confines of the 6th District."
20-0041,2020-01-28,0600,LACK OF SERVICE,"According to the complainant, on 1-10-20 at 12:10 PM, they did not receive proper service, within the confines of the 6th District."
20-0042,2020-01-28,2400,HARASSMENT,"According to the complainant, since November of 2018, they have been harassed by an officer assigned to the Police Athletic League."
20-0043,2020-01-28,1800,PHYSICAL ABUSE,"According to the complainant, on 2-13-03 at 7:30 PM, they were physically abused by an officer assigned to the Narcotics Unit and detectives assigned to the Southwest Detective Division."
20-0044,2020-01-29,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-27-20 at 6:30 PM, they did not receive proper service from officers assigned to the 22nd District."
20-0045,2020-01-30,2500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 1-27-20 at 7:45 PM, they were racially profiled, physically abused, improperly stopped and searched by officers assigned to the 25th District."
20-0046,2020-01-30,0600,VERBAL ABUSE,"According to the complainant, on 1-24-20 at 8:18 AM, they did not receive proper service from an unknown Tip Line call taker."
20-0047,2020-01-31,0100,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-27-20 at 3:00 PM, they were verbally abused and their home was illegally searched and entered by officers while in the confines of the 1st District."
20-0048,2020-02-03,0800,PHYSICAL ABUSE,"According to the complainant, on 1-31-19 at 1:30 PM, they were verbally and physically abused by an off duty officer within the confines of the 8th District."
20-0049,2020-02-04,2500,VERBAL ABUSE,"According to the complainant, on 1-31-19 at 7:20 PM, they were verbally abused by an officer assigned to the 24th District."
20-0050,2020-02-04,0100,PHYSICAL ABUSE,"According to the complainant, on 1-13-20 at 9:00 PM, they were physically abused by officers while in the confines of the 1st District."
20-0051,2020-02-04,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-31-20 at 12:45 PM, departmental policies were violated by officers assigned to Narcotics Strike Force, while in the confines of the 24th District."
20-0052,2020-02-06,3500,LACK OF SERVICE,"According to the complainant, on 1-24-20 at 9:00 AM, they did not receive proper service and were treated unprofessionally by a detective assigned to Northwest Detective Division."
20-0053,2020-02-06,2500,LACK OF SERVICE,"According to the complainant, on 2-7-19 at 2:00 PM, they were treated unprofessionally and did not receive proper service from an officer while in the confines of the 25th District."
20-0054,2020-02-10,1200,CRIMINAL ALLEGATION,"According to the complainant, on 1-17-20 at 9:13 PM, they were improperly searched by unknown officers within in the confines of the 19th District."
20-0055,2020-02-07,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-1-20 at 8:00 AM, they were physically abused by unknown officer within in the confines of the 12th District."
20-0056,2020-02-10,0500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-6-20 at 10:00 PM, they were falsely arrested by officers assigned to the 5th District."
20-0057,2020-02-12,0800,LACK OF SERVICE,"According to the complainant, on 1-29-20, they did not receive proper service from officers while in the confines of the 8th District."
20-0058,2020-02-12,3500,LACK OF SERVICE,"According to the complainant, 8-14-19, they did not receive proper service from officers while in the confines of the 35th District."
20-0059,2020-02-12,0700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-19 at 9:00 PM, departmental policies were violated , they did not receive proper service and were improperly arrested by a lieutenant and a detective, assigned to Northeast Detective Division."
20-0060,2020-02-12,0600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-9-20 at 3:00 AM, they were treated unprofessionally by officers assigned to the 6th District."
20-0061,2020-02-12,3500,VERBAL ABUSE,"According to the complainant, on 2-6-20 at 10:05 AM, they were verbally abused by an officer assigned to the 35th District."
20-0062,2020-02-12,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-20 at 6:00 AM, an officer damaged their property while in the confines of the 35th District."
20-0063,2020-02-12,2400,PHYSICAL ABUSE,"According to the complainant, on 2-5-20 at 9:00 PM, they were physically abused by an officer while in the confines of the 24th District."
20-0064,2020-02-12,2500,LACK OF SERVICE,"According to the complainant, on 10-14-17, they did not receive proper service from a detective assigned to the Special Victims Unit while in the confines of the 25th District."
20-0065,2020-02-13,1200,HARASSMENT,"According to the complainants, they were harassed and threatened on two occasions, by officers assigned to the 12th District."
20-0066,2020-02-13,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-20 at 8:10 PM, they were improperly stopped and searched by officers assigned to the 16th District."
20-0067,2020-02-13,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-31-20, their property was not returned after being transported by 35th District officers."
20-0068,2020-02-14,1500,HARASSMENT,"According to the complainant, beginning in July of 2007, departmental policies have been violated, and they have been harassed by a sergeant assigned to the 26th District, who has also abused their authority."
20-0069,2020-02-14,2400,HARASSMENT,"According to the complainant, on 2-12-20 at 5:30 PM, an off-duty officer assigned to the 12th District abused his authority while in the confines of the 24th District."
20-0070,2020-02-14,2600,PHYSICAL ABUSE,"According to the complainant, on 2-10-20 at 5:00 PM, they were physically and verbally abused, falsely arrest and harassed by officers while in the confines of the 26th District."
20-0071,2020-02-18,3900,PHYSICAL ABUSE,"According to the complainant, on 8-14-19 at 5:45 PM, they were physically and verbally abused by officers while in the confines of the 39th District."
20-0072,2020-02-18,3900,VERBAL ABUSE,"According to the complainant, on 2-14-20 at 12:30 PM, they were verbally abused by an officer while in the confines of the 39th District."
20-0073,2020-02-21,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-12-20 at 8:18 AM, they were treated unprofessionally and falsely arrested by a sergeant assigned to the 25th District."
20-0074,2020-02-19,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-31-20, they did not receive proper service from a Homicide Unit sergeant and two detectives."
20-0075,2020-02-19,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-24-20 at 9:00 PM, their vehicle is missing after it was towed by police in the 22nd District."
20-0076,2020-02-19,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-10-17, an officer abused his police authority while in the confines of the 35th District."
20-0077,2020-02-20,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-14-20, an off-duty sergeant abused their authority as a police officer while in the confines of the 2nd District."
20-0078,2020-02-20,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-18-20 at 7:00 PM, they did not receive proper service from officers while in the confines of the 22nd District."
20-0079,2020-02-20,2200,LACK OF SERVICE,"According to the complainant, on 1-12-20 at 6:20 PM, they did not receive proper service from officers while in the confines of the 2nd District."
20-0080,2020-02-20,0200,LACK OF SERVICE,"According to the complainant, on 2-17-20 at 9:30 PM, they did not received proper service and were treated unprofessionally by officers, while in the confines of the 22nd District."
20-0081,2020-02-20,2600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-14-20, an officer violated departmental policies while in the confines of the 35th District."
20-0082,2020-02-25,2500,LACK OF SERVICE,"According to the complainant, on 4-1-19 at 1:30 PM, they did not receive proper service from officers while in the confines of the 35th District."
20-0083,2020-02-21,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-8-20 at 9:15 PM, they were physically abused by officers while in the confines of the 1st District."
20-0084,2020-02-24,0100,PHYSICAL ABUSE,"According to the complainant, on 2-20-20 at 6:00 PM, they were sexually harassed by an officer assigned to the Airport Unit."
20-0085,2020-02-24,7700,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 2-17-20 at 4:40 PM, they did not receive proper service from officers while in the confines of the 25th District."
20-0086,2020-02-27,3500,PHYSICAL ABUSE,"According to the complainant, on 2-4-20, they were physically abused by an officer while in the confines of the 35th District."
20-0087,2020-02-27,1200,HARASSMENT,"According to the complainant, on 2-6-20 at 4:39 PM, they have been harassed by a Police Radio Dispatcher, while in the confines of the 12th District."
20-0088,2020-02-27,1400,LACK OF SERVICE,"According to the complainant, on 3-16-19 at 6:47 PM, they did not receive proper service from an officer assigned to the 14th District."
20-0089,2020-02-27,1400,VERBAL ABUSE,"According to the complainant, on 2-18-20, they were treated unprofessionally by unknown officers, within the confines of the 14th District."
20-0090,2020-02-27,2200,LACK OF SERVICE,"According to the complainant, on 2-25-20 at 11:30 AM, they did not receive proper service from unknown officers assigned to the 22nd District."
20-0091,2020-02-27,2200,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 2-27-20 at 1:15 AM, they were racially profiled and their vehicle was improperly searched by officers while in the confines of the 22nd District."
20-0092,2020-03-02,2400,PHYSICAL ABUSE,"According to the complainant, on 2-27-20 at 9:30 PM, they are missing property and were physically abused by unknown officers within the confines of the 24th District."
20-0093,2020-03-02,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-18-19 at 2:30 PM, they are alleging that a corporal assigned to the 39th District, released confidential information and filed a false police report."
20-0094,2020-03-02,1500,CRIMINAL ALLEGATION,"According to the complainant, on 3-2-20, they were treated unprofessionally by a sergeant assigned to Southwest Detective Division."
20-0095,2020-03-03,0700,DOMESTIC,"According to the complainant, on several occasions, an officer assigned to the 35th District has abused his authority."
20-0096,2020-03-03,7700,PHYSICAL ABUSE,"According to the complainant, at 8:00 AM on an unlisted date, they were physically abused and their civil rights were violated by a supervisor assigned to the Philadelphia International Airport."
20-0097,2020-03-04,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-24-20 at 12:30 PM, unknown officers abused their authority, harassed and verbally abused him."
20-0098,2020-03-05,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-15-20, they are missing property after officers failed to follow departmental policies while in the confines of the 22nd District."
20-0099,2020-03-05,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-20-19 at 6:00 PM, they were falsely arrested by an officer assigned to the 35th District."
20-0100,2020-03-16,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-5-19 at 9:55 AM, they were falsely arrested and the officers did not follow proper police procedure along with physically and verbally abusing them within the confines of the 9th District."
20-0101,2020-03-16,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-5-19 at 9:55 AM, they were falsely arrested and the officers did not follow proper police procedure along with physically and verbally abusing them within the confines of the 9th District."
20-0102,2020-03-16,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-5-19 at 9:55 AM, they were falsely arrested and the officers did not follow proper police procedure along with physically and verbally abusing them within the confines of the 9th District."
20-0103,2020-03-16,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-5-19 at 9:55 AM, they were falsely arrested and the officers did not follow proper police procedure along with physically and verbally abusing them within the confines of the 9th District."
20-0104,2020-03-16,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-5-19 at 9:55 AM, they were falsely arrested and the officers did not follow proper police procedure along with physically and verbally abusing them within the confines of the 9th District."
20-0105,2020-03-16,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-5-19 at 9:55 AM, they were falsely arrested and the officers did not follow proper police procedure along with physically and verbally abusing them within the confines of the 9th District."
20-0106,2020-03-05,0200,PHYSICAL ABUSE,"According to the complainant, on 1-12-20, an officer assigned to the 2nd District, did not follow proper police procedures and violated their civil rights."
20-0107,2020-03-05,1800,LACK OF SERVICE,"According to the complainant, on 3-5-20 at 12:00 AM, an officer violated departmental policies and did not provide proper service while in the confines of the 18th District."
20-0108,2020-03-06,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-6-19 at 5:27 PM, a detective did not follow proper police procedure within the confines of the 12th District."
20-0109,2020-03-09,1700,PHYSICAL ABUSE,"According to the complainant, on 5-25-19 at 8:30 PM, they were physically abused by officers within the confines of the 17th District."
20-0110,2020-03-10,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-24-19 at 6:00 PM, they were improperly arrested by officers assigned to the 25th District."
20-0111,2020-03-10,1600,LACK OF SERVICE,"According to the complainant, on 11-26-19, they did not receive proper service and were treated unprofessionally by an officer assigned to the 16th District."
20-0112,2020-03-11,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-20 at 4:00 PM, they were verbally abused and improperly ticketed by an officer while in the confines of the 19th District."
20-0113,2020-03-12,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-20-20 at 6:10 PM, an officer and a sergeant violated departmental policies while in the confines of the 19th District."
20-0114,2020-03-12,0900,PHYSICAL ABUSE,"According to the complainant, on 3-8-20 at 9:00 PM, they were physically abused by a sergeant while in the confines of the 9th District."
20-0115,2020-03-10,2200,LACK OF SERVICE,"According to the complainant, on 11-8-19 at 6:12 PM, they did not receive proper service from an officer while in the confines of the 22nd District."
20-0116,2020-03-10,3500,LACK OF SERVICE,"According to the complainant, on 3-5-20 at 5:26 PM, they did not receive proper service from officers while in the confines of the 35th District."
20-0117,2020-03-10,3900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-7-20 at 11:57 AM, they were treated unprofessionally by an officer while in the confines of the 39th District."
20-0118,2020-03-12,2200,LACK OF SERVICE,"According to the complainant, on 3-7-20 at 11:15 AM, they did not receive proper service from a sergeant and a lieutenant while in the confines of the 22nd District."
20-0119,2020-03-11,1400,PHYSICAL ABUSE,"According to the complainant, on 11-26-19 at 7:30 PM, they are missing property and were physically abused by officers, while in the confines of the 14th District."
20-0120,2020-03-11,1400,PHYSICAL ABUSE,"According to the complainant, on 3-9-20 at 5:25 PM, they were physically abused and improperly stopped, frisked and searched by officers while in the confines of the 14th District."
20-0121,2020-03-11,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-29-20 at 4:00 PM, they were treated unprofessionally and departmental policies were violated by officers while in the confines of the 18th District."
20-0122,2020-03-11,2500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-9-20 at 10:30 PM, a sergeant treated them unprofessionally and departmental policies were violated by officers while in the confines of the 25th District."
20-0123,2020-03-12,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-2-20 at 1:00 PM, their property is missing by an unknown officer while in the confines of the 12th District."
20-0124,2020-03-11,1400,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 3-6-20 at 6:30 PM, their civil rights were violated, they were racially discriminated, and physically and verbally abused by officers and a sergeant while in the confines of the 14th District."
20-0125,2020-03-12,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-9-20 at 7:47 AM, departmental policies were violated by unknown officers in the confines of the 26th District."
20-0126,2020-03-12,1400,PHYSICAL ABUSE,"According to the complainant, on 3-10-20 at 5:45 PM, they were physically abused by unknown officers while in the confines of the 14th District"
20-0127,2020-03-13,1900,PHYSICAL ABUSE,"According to the complainant, on 2-6-20 at 9:00 PM, their vehicle was improperly searched and they were physically abused by officers assigned to the 19th District."
20-0128,2020-03-13,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-11-20 at 2:30 PM, they were improperly stopped by an officer while in the confines of the 19th District."
20-0129,2020-03-13,2500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-6-20, they were treated unprofessionally and verbally abused by officers while in the confines of the 25th District."
20-0130,2020-03-17,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-13-20 at 2:18 AM, they are missing property after they were stopped for investigation by officers within the confines of the 6th District."
20-0131,2020-03-17,1500,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 3-15-20 at 8:49 PM, they were verbally abused by an officer while in the confines of the 15th District."
20-0132,2020-03-17,0800,DOMESTIC,"According to the complainant, they were physically and verbally abused by an officer assigned to the 24th District."
20-0133,2020-03-17,3500,CRIMINAL ALLEGATION,"According to the complainant, a detective assigned to Northwest Detective Division, did not follow proper police procedure."
20-0134,2020-03-18,2200,CRIMINAL ALLEGATION,"According to the complainant, on 2-14-20 at 6:00 PM, they allege an off-duty officer assigned to the Traffic District was involved in criminal activity while in the confines of the 22nd District."
20-0135,2020-03-18,0200,PHYSICAL ABUSE,"According to the complainant, on 3-16-20 at 10:56 PM, they were physically and verbally abused by an officer while in the confines of the 2nd District."
20-0136,2020-03-18,1600,LACK OF SERVICE,"According to the complainant, on 3-12-20 at 11:00 AM, they did not receive proper service by a Detective assigned to the Special Victims Unit."
20-0137,2020-03-18,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-13-20, they were improperly arrested by an officer assigned to the 9th District."
20-0138,2020-03-19,Other Jurisdiction,CRIMINAL ALLEGATION,"According to the complainant, on 3-17-20 at 5:03 PM, they witnessed a violation of the motor vehicle code by an unknown officer."
20-0139,2020-03-19,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-12-20 at 11:00 AM, departmental policies were violated and they were improperly arrested by officers assigned to the 25th District."
20-0140,2020-03-20,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-19-20 at 12:16 AM, departmental policies were violated by officers while in the confines of the 26th District."
20-0141,2020-03-24,1900,PHYSICAL ABUSE,"According to the complainant, on 3-5-20 at 11:00 AM, a weapon was improperly displayed by an unknown officer within the confines of the 19th District."
20-0142,2020-03-24,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-10-20 at 5:12 PM, departmental policy was violated by an unknown officer."
20-0143,2020-03-25,0300,PHYSICAL ABUSE,"According to the complainant, on 3-9-20 at 4:30 PM, they were physically abused and departmental policy was violated by officers while in the confines of the 3rd District."
20-0144,2020-03-25,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-20-20 at 3:45 PM, they were treated unprofessionally and improperly detained by officers assigned to the 25th District."
20-0145,2020-03-25,1500,PHYSICAL ABUSE,"According to the complainant, on 3-24-20 at 6:45 PM, they were verbally abused, improperly frisked, searched, and departmental policies were violated by an officer while in the confines of the 15th District."
20-0146,2020-03-26,0300,HARASSMENT,"According to the complainant, on several dates, they were harassed, improperly arrested and departmental policies were violated by an officer assigned to the 3rd District."
20-0147,2020-03-25,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, they allege numerous officers from several districts, have violated the police departments policy on social media."
